category,item,sheet,cell_or_range,existing_value,required_for_santiago,unit,source_strategy,final_value,source,confidence_class,notes
Scenario,Maximum backup generation allowed,Input & Output,C12,2.5,Yes,%,Use 5% in conservative start; 2.5% tested in future scenarios.,5.0,Scenario assumption,D,"Scenario target, not a measured value."
Demand,Demand increase relative to base year,Input & Output,C26,0,Yes,%,Base 2023 has no future demand growth.,0.0,User instruction,D,Base-year scenario assumption.
Demand,Number of e-cars,Input & Output,C30,0,Yes,cars,No sourced Santiago EV count in base case.,0,User instruction,D,Future EVs should be a separate scenario.
Demand,EV energy consumption,Input & Output,C31,15,Yes,kWh/100 km,Keep default because EV count is zero.,15.0,RE100 model default,D,Does not affect base case when C30=0.
Demand,Average EV km per day,Input & Output,C32,40,Yes,km/day,Keep default because EV count is zero.,40.0,RE100 model default,D,Does not affect base case when C30=0.
Economic,Lifetime wind turbine,Input & Output,C36,20,Yes,a,No Santiago-specific value found in this pass; keep original model value.,20,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime PV plant,Input & Output,C37,20,Yes,a,No Santiago-specific value found in this pass; keep original model value.,20,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime solid biomass plant,Input & Output,C38,25,Yes,a,No Santiago-specific value found in this pass; keep original model value.,25,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime Geothermal Power Plant,Input & Output,C39,25,Yes,a,No Santiago-specific value found in this pass; keep original model value.,25,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime biodiesel generator,Input & Output,C40,25,Yes,a,No Santiago-specific value found in this pass; keep original model value.,25,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime pump storage hydro power,Input & Output,C41,50,Yes,a,No Santiago-specific value found in this pass; keep original model value.,50,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Lifetime waste-to-energy plant,Input & Output,C42,25,Yes,a,No Santiago-specific value found in this pass; keep original model value.,25,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of wind power,Input & Output,C43,1050,Yes,€/kW,No Santiago-specific value found in this pass; keep original model value.,1050,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of PV,Input & Output,C44,1000,Yes,€/kWp,No Santiago-specific value found in this pass; keep original model value.,1000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of solid biomass plant,Input & Output,C45,4000,Yes,€/kW,No Santiago-specific value found in this pass; keep original model value.,4000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of geothermal plant,Input & Output,C46,4000,Yes,€/kW,No Santiago-specific value found in this pass; keep original model value.,4000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of biodiesel generator,Input & Output,C47,500,Yes,€/kW,No Santiago-specific value found in this pass; keep original model value.,500,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of waste-to-energy plant,Input & Output,C48,6000,Yes,€/kW,No Santiago-specific value found in this pass; keep original model value.,6000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Investment cost of PHS storage,Input & Output,C49,125000,Yes,€/MWh,No Santiago-specific value found in this pass; keep original model value.,125000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M cost of wind power,Input & Output,C50,5,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,5,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M cost of PV,Input & Output,C51,5,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,5,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M solid biomass power plant,Input & Output,C52,10,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,10,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M geothermal power plant,Input & Output,C53,5,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,5,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M biodiesel generator,Input & Output,C54,3,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,3,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M waste to energy plant,Input & Output,C55,5,Yes,%/a of invest,No Santiago-specific value found in this pass; keep original model value.,5,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,O&M PHS storage in €/MW,Input & Output,C56,15000,Yes,€/MW Pumpe,No Santiago-specific value found in this pass; keep original model value.,15000,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Fuel costs solid biomass,Input & Output,C57,35,Yes,€/MWh (input),No Santiago-specific value found in this pass; keep original model value.,35,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Fuel costs waste,Input & Output,C58,1,Yes,€/MWh (input),No Santiago-specific value found in this pass; keep original model value.,1,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Fuel cost of biodiesel in €/t,Input & Output,C59,1300,Yes,€/t,No Santiago-specific value found in this pass; keep original model value.,1300,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Interest rate,Input & Output,C61,6,Yes,%,No Santiago-specific value found in this pass; keep original model value.,6,RE100 model default,D,"Default model assumption, not Santiago-specific."
Economic,Conversion factor Euro/US Dollar 2023,Input & Output,C62,1.15,Yes,USD/EUR,Use 2023 average ECB daily rate from Frankfurter API.,1.081211,Frankfurter ECB API,B,Sourced exchange-rate transform.
Economic,Conversion factor Euro/Local currency 2023,Input & Output,C63,=C62*2,Yes,CVE/EUR,Use Cabo Verde fixed peg.,110.265,IMF/Cabo Verde peg source,B,CVE is pegged to EUR at 110.265.
Technical,Hub height of wind turbines,Input & Output,C65,100,Yes,m,Use Vestas V52 representative hub height assumption.,55.0,Vestas V52 public specifications; Cabeolica/GEM for turbine context,D,Exact Santiago tower height not publicly verified.
Technical,Measuring height of wind speeds,Input & Output,C66,10,Yes,m,Match Open-Meteo wind_speed_10m.,10.0,Open-Meteo API,C,Must match the wind data vector.
Technical,Roughness coefficient,Input & Output,C67,0.2,Yes,-,Keep model default.,0.2,RE100 model default,D,No site-specific roughness value sourced.
Technical,Capacity installed per km2 wind park area,Input & Output,C68,10,Yes,MW/km2,Keep model default.,10.0,RE100 model default,D,Land-area reporting assumption.
Technical,Module Peak Capacity,Input & Output,C72,=150*0.85,Yes,Wp,Keep original model value.,=150*0.85,RE100 model default,D,"Default model assumption, not Santiago-specific."
Technical,Module area required for 1 kWp,Input & Output,C73,8,Yes,m²/kWp,Keep original model value.,8,RE100 model default,D,"Default model assumption, not Santiago-specific."
Technical,Average Electrical Efficiency,Input & Output,C77,0.4,Yes,,Keep original model value.,0.4,RE100 model default,D,"Default model assumption, not Santiago-specific."
Technical,Storage efficiency one way,Input & Output,C79,0.866,Yes,-,Keep model default 0.866.,0.866,RE100 model default,D,Generic pump-storage assumption.
Technical,Pump storage head,Input & Output,C80,300,Yes,m,Keep 300 m as scenario assumption.,300.0,RE100 model default/scenario assumption,D,No Santiago pumped-storage site selected.
